scenario,pool_x,pool_y,fee,victim_v,slippage,attacker_in,attacker_profit,victim_honest_out,victim_actual_out,victim_extra_loss,attacker_roi,reverted,price_before,price_after_front,price_after_victim,price_after_back
slippage,100000.0,100000.0,0.003,1000.0,0.0005,25.171376643723647,0.3512015633604051,987.1580343970613,986.6644553798636,0.49357901719770325,0.013952417793087825,0,1.0,0.9994975170547297,0.979837446743839,0.9803334637551011
slippage,100000.0,100000.0,0.003,1000.0,0.0013389830508474577,67.45055839457069,0.9404142113648248,987.1580343970613,985.8362465204965,1.3217878765648265,0.013942274663815412,0,1.0,0.9986543719107376,0.9790190629416581,0.9803473830305998
slippage,100000.0,100000.0,0.003,1000.0,0.0021779661016949154,109.78305256721157,1.5295118682927864,987.1580343970613,985.0080376611294,2.14999673593195,0.013932130984938553,0,1.0,0.9978112320379999,0.9782006739907311,0.9803613013523217
slippage,100000.0,100000.0,0.003,1000.0,0.003016949152542373,152.16897129705524,2.1184944030075883,987.1580343970613,984.1798288017625,2.9782055952988458,0.013921986755578371,0,1.0,0.9969680974386946,0.977382279888874,0.9803752187189302
slippage,100000.0,100000.0,0.003,1000.0,0.003855932203389831,194.60842705002665,2.7073616840948773,987.1580343970613,983.3516199423956,3.8064144546657417,0.01391184197485402,0,1.0,0.9961249681150016,0.9765638806338995,0.9803891351290848
slippage,100000.0,100000.0,0.003,1000.0,0.004694915254237288,237.10153262379882,3.2961135798614123,987.1580343970613,982.5234110830282,4.634623314033092,0.013901696641882308,0,1.0,0.9952818440691032,0.9757454762236174,0.9804030505814428
slippage,100000.0,100000.0,0.003,1000.0,0.005533898305084746,279.6484011490029,3.884749958333657,987.1580343970613,981.6952022236613,5.462832173399988,0.013891550755778416,0,1.0,0.9944387253031859,0.9749270666558358,0.980416965074659
slippage,100000.0,100000.0,0.003,1000.0,0.006372881355932204,322.2491460905334,4.473270687257411,987.1580343970613,980.8669933642947,6.291041032766657,0.013881404315655443,0,1.0,0.9935956118194383,0.9741086519283597,0.9804308786073848
slippage,100000.0,100000.0,0.003,1000.0,0.007211864406779662,364.9038812489082,5.061675634098492,987.1580343970613,980.0387845049273,7.1192498921340075,0.01387125732062527,0,1.0,0.9927525036200502,0.9732902320389895,0.980444791178269
slippage,100000.0,100000.0,0.003,1000.0,0.00805084745762712,407.61272076131695,5.649964666038386,987.1580343970613,979.2105756455602,7.947458751501131,0.01386110976979739,0,1.0,0.9919094007072167,0.9724718069855254,0.9804587027859574
slippage,100000.0,100000.0,0.003,1000.0,0.008889830508474578,450.3757791031205,6.238137649976579,987.1580343970613,978.3823667861932,8.77566761086814,0.013850961662279492,0,1.0,0.9910663030831344,0.9716533767657635,0.9804726134290932
slippage,100000.0,100000.0,0.003,1000.0,0.009728813559322036,493.19317108905136,6.826194452528512,987.1580343970613,977.5541579268264,9.603876470234923,0.013840812997177467,0,1.0,0.9902232107500032,0.9708349413774974,0.9804865231063166
