scenario,pool_x,pool_y,fee,victim_v,slippage,attacker_in,attacker_profit,victim_honest_out,victim_actual_out,victim_extra_loss,attacker_roi,reverted,price_before,price_after_front,price_after_victim,price_after_back
pool_depth,10000.00000000001,10000.00000000001,0.003,1000.0,0.01,52.85358159421348,10.607226939652904,906.6108938801492,897.5447849413532,9.066108938795992,0.20069078801679932,0,1.0,0.9895281095448201,0.8187963722106149,0.8282946476690338
pool_depth,11242.100350620869,11242.100350620869,0.003,1000.0,0.01,59.13305888326242,10.461412992855841,915.7841449515058,906.6263035019961,9.15784144950976,0.1769131039459374,0,1.0,0.9895780263254862,0.8354305301595778,0.8449786737347196
pool_depth,12638.482029342998,12638.482029342998,0.003,1000.0,0.01,66.1896640149593,10.322922503361383,924.1012936791722,914.8602807423861,9.241012936786092,0.15595973566247948,0,1.0,0.9896228739022102,0.8506568922824086,0.8602498442153361
pool_depth,14208.308325339234,14208.308325339234,0.003,1000.0,0.01,74.12020248990221,10.189861336711147,931.6275012165645,922.3112262044043,9.31627501216019,0.137477516175153,0,1.0,0.9896631243196735,0.8645537971572795,0.8741869679857643
pool_depth,15973.122800602547,15973.122800602547,0.003,1000.0,0.01,83.0334802710226,10.060408521454946,938.4259394773085,929.0416800825388,9.384259394769629,0.12116086774416311,0,1.0,0.989699214412561,0.8772037105664373,0.8868729462165437
pool_depth,17957.144943716426,17957.144943716426,0.003,1000.0,0.01,93.0517956672325,9.932791540372264,944.5571700569099,935.1115983563442,9.445571700565665,0.10674475940145692,0,1.0,0.9897315465596717,0.8886909551553495,0.8983925027411027
pool_depth,20187.6025467904,20187.6025467904,0.003,1000.0,0.01,104.31261661501271,9.805262227864901,950.07870431817,940.5779172749918,9.500787043178207,0.09399881381610098,0,1.0,0.9897604898989074,0.8990998615637171,0.9088303363610644
pool_depth,22695.105366946693,22695.105366946693,0.003,1000.0,0.01,116.97046633760888,9.676072954995036,955.0447163895042,945.4942692256127,9.550447163891477,0.08272235939512486,0,1.0,0.9897863818684046,0.9085133057769493,0.9182696597033316
pool_depth,25514.065200312918,25514.065200312918,0.003,1000.0,0.01,131.1990432269406,9.543452785105131,959.5058822612579,949.9108234386488,9.595058822609076,0.07274026205051978,0,1.0,0.9898095299636227,0.9170115897490664,0.9267910815695238
pool_depth,28683.16813342013,28683.16813342013,0.003,1000.0,0.01,147.19360401200797,9.40558328046373,963.5093204481973,953.8742272437173,9.635093204479972,0.06389940203989046,0,1.0,0.9898302136220697,0.9246716192351045,0.9344717866270686
pool_depth,32245.905452963954,32245.905452963954,0.003,1000.0,0.01,165.17364289527126,9.26057363400571,967.0986124270503,957.4276263027821,9.670986124268211,0.05606568621773026,0,1.0,0.9898486861661951,0.9315663329718527,0.941384966510854
pool_depth,36251.170499885375,36251.170499885375,0.003,1000.0,0.01,185.38590340428112,9.106434789712381,970.3138839663802,960.6107451267185,9.703138839661733,0.04912150612581089,0,1.0,0.9898651767510012,0.9377643397812225,0.9475994588558261
pool_depth,40753.929658717796,40753.929658717796,0.003,1000.0,0.01,208.10776427459848,8.941052200252471,973.1919313384092,963.4600120250274,9.731919313381809,0.04296356856947798,0,1.0,0.9898798922763101,0.9433297239751153,0.9531795545988097
