scenario,pool_x,pool_y,fee,victim_v,slippage,attacker_in,attacker_profit,victim_actual_out,victim_min_out,victim_extra_loss,reverted,price_after_front,is_optimal
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,0.0,0.0,987.1580343970613,977.2864540530907,0.0,0,1.0,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,10.226113105170882,0.14271569803334216,986.9574685295614,977.2864540530907,0.20056586749990402,0,0.9997958157950269,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,20.452226210341763,0.28538117567246246,986.7569637810615,977.2864540530907,0.4010706159998563,0,0.9995916941205011,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,30.678339315512645,0.4279964548847133,986.556520126731,977.2864540530907,0.6015142703303127,0,0.9993876349508926,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,40.904452420683526,0.5705615576257301,986.3561375417512,977.2864540530907,0.8018968553101331,0,0.9991836382606838,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,51.13056552585441,0.7130765058393749,986.1558160013167,977.2864540530907,1.0022183957446487,0,0.9989797040243709,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,61.35667863102529,0.8555413214578351,985.9555554806344,977.2864540530907,1.2024789164269123,0,0.9987758322164623,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,71.58279173619617,0.9979560264015959,985.755355954924,977.2864540530907,1.4026784421373577,0,0.9985720228114798,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,81.80890484136705,1.1403206425793257,985.5552173994173,977.2864540530907,1.6028169976440267,0,0.9983682757839584,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,92.03501794653793,1.2826351918880903,985.3551397893593,977.2864540530907,1.802894607702001,0,0.9981645911084459,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,102.26113105170882,1.424899696213231,985.155123100007,977.2864540530907,2.002911297054311,0,0.9979609687595028,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,112.4872441568797,1.567114177428465,984.9551673066302,977.2864540530907,2.202867090431141,0,0.9977574087117028,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,122.71335726205058,1.7092786573957284,984.7552723845113,977.2864540530907,2.402762012550056,0,0.9975539109396327,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,132.93947036722147,1.8513931579652478,984.5554383089453,977.2864540530907,2.6025960881160017,0,0.9973504754178925,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,143.16558347239234,1.9934577009758243,984.3556650552396,977.2864540530907,2.802369341821759,0,0.9971471021210941,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,153.3916965775632,2.1354723082542364,984.1559525987138,977.2864540530907,3.00208179834749,0,0.9969437910238637,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,163.6178096827341,2.2774370016160788,983.9563009147006,977.2864540530907,3.201733482360737,0,0.9967405421008391,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,173.843922787905,2.4193518028649237,983.7567099785452,977.2864540530907,3.401324418516083,0,0.9965373553266721,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,184.07003589307587,2.5612167337926337,983.5571797656046,977.2864540530907,3.600854631456741,0,0.9963342306760269,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,194.29614899824674,2.703031816179987,983.357710251249,977.2864540530907,3.800324145812283,0,0.9961311681235807,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,204.52226210341763,2.8447970717955684,983.1583014108609,977.2864540530907,3.9997329862004563,0,0.9959281676440237,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,214.74837520858853,2.9865125223965947,982.958953219835,977.2864540530907,4.199081177226276,0,0.9957252292120589,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,224.9744883137594,3.128178189728686,982.759665653579,977.2864540530907,4.398368743482365,0,0.9955223528024021,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,235.20060141893026,3.2697940955258957,982.5604386875126,977.2864540530907,4.597595709548727,0,0.995319538389782,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,245.42671452410116,3.4113602615105663,982.3612722970681,977.2864540530907,4.796762099993202,0,0.9951167859489405,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,255.65282762927205,3.552876709393445,982.1621664576904,977.2864540530907,4.995867939370896,0,0.994914095454632,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,265.87894073444295,3.694343460873938,981.9631211448365,977.2864540530907,5.194913252224865,0,0.9947114668816237,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,276.1050538396138,3.835760537639601,981.7641363339761,977.2864540530907,5.393898063085203,0,0.9945089002046961,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,286.3311669447847,3.977127961366591,981.5652120005911,977.2864540530907,5.592822396470183,0,0.9943063953986416,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,296.5572800499556,4.1184457537194135,981.3663481201766,977.2864540530907,5.791686276884775,0,0.994103952438267,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,306.7833931551264,4.2597139363510905,981.167544668239,977.2864540530907,5.990489728822354,0,0.9939015712983903,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,317.0095062602973,4.400932530903162,980.9688016202975,977.2864540530907,6.189232776763788,0,0.9936992519538433,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,327.2356193654682,4.54210155900563,980.770118951884,977.2864540530907,6.3879154451773275,0,0.9934969943794701,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,337.4617324706391,4.683221042276671,980.5714966385426,977.2864540530907,6.586537758518716,0,0.9932947985501283,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,347.68784557581,4.824291002323378,980.3729346558298,977.2864540530907,6.785099741231534,0,0.9930926644406871,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,357.91395868098084,4.965311460741077,980.1744329793144,977.2864540530907,6.983601417746968,0,0.9928905920260299,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,368.14007178615174,5.10628243911367,979.9759915845774,977.2864540530907,7.182042812483928,0,0.9926885812810514,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,378.36618489132263,5.247203959013461,979.7776104472127,977.2864540530907,7.380423949848591,0,0.9924866321806608,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,388.59229799649347,5.388076042001501,979.5792895428258,977.2864540530907,7.578744854235538,0,0.9922847446997781,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,398.81841110166437,5.528898709627072,979.3810288470354,977.2864540530907,7.777005550025933,0,0.9920829188133378,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,409.04452420683526,5.669671983428202,979.1828283354718,977.2864540530907,7.975206061589574,0,0.9918811544962858,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,419.27063731200616,5.810395884931324,978.9846879837781,977.2864540530907,8.173346413283184,0,0.991679451723582,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,429.49675041717705,5.951070435651559,978.7866077676092,977.2864540530907,8.371426629452117,0,0.9914778104701976,0
attacker_size,100000.0,100000.0,0.003,1000.0,0.01,439.7228635223479,6.091695657092146,978.588587662633,977.2864540530907,8.569446734428311,0,0.9912762307111178,0
